[2023-03-10 17:23:26,893] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['buy', 'sell'], 'reason': '', 'qty': 25, 'split_qty': 25}: DEBUG in main_API: orderplacement
[2023-03-10 17:23:26,898] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['buy', 'sell'], 'reason': '', 'qty': 25, 'split_qty': 25}: DEBUG in main_API: dependentorder
[2023-03-10 17:23:39,612] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 50, 'split_qty': 25}: DEBUG in main_API: orderplacement
[2023-03-10 17:23:39,617] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 50, 'split_qty': 25}: DEBUG in main_API: dependentorder
[2023-03-10 17:23:46,962] 192.168.3.36 requested http://192.168.3.36:5003/STopenpositions | {'strategyname': 'test2'}: DEBUG in main_API: open pos
[2023-03-10 17:24:02,804] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 50, 'split_qty': 25}: DEBUG in main_API: orderplacement
[2023-03-10 17:24:02,809] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 50, 'split_qty': 25}: DEBUG in main_API: dependentorder
[2023-03-10 17:24:25,036] 192.168.3.36 requested http://192.168.3.36:5003/STnetpositions | {'strategyname': 'test2'}: DEBUG in main_API: STnetpositions
[2023-03-10 17:24:31,891] 192.168.3.36 requested http://192.168.3.36:5003/squareoff | {'strategyname': 'test2', 'turnoff': True}: DEBUG in main_API: squareoff
[2023-03-10 17:25:57,548] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 50, 'split_qty': 25}: DEBUG in main_API: orderplacement
